name,mfr,type,calories,sugars
100% Bran,N,C,70,6
100% Natural Bran,Q,C,120,8
All-Bran,K,C,70,5
All-Bran with Extra Fiber,K,C,50,0
Almond Delight,R,C,110,8
Apple Cinnamon Cheerios,G,C,110,10
Apple Jacks,K,C,110,14
Basic 4,G,C,130,8
Bran Chex,R,C,90,6
Bran Flakes,P,C,90,5
Cap'n'Crunch,Q,C,120,12
Cheerios,G,C,110,1
Cinnamon Toast Crunch,G,C,120,9
Clusters,G,C,110,7
Cocoa Puffs,G,C,110,13
Corn Chex,R,C,110,3
Corn Flakes,K,C,100,2
Corn Pops,K,C,110,12
Count Chocula,G,C,110,13
Cracklin' Oat Bran,K,C,110,7
Cream of Wheat (Quick),N,H,100,0
Crispix,K,C,110,3
Crispy Wheat & Raisins,G,C,100,10
Double Chex,R,C,100,5
Froot Loops,K,C,110,13
Frosted Flakes,K,C,110,11
Frosted Mini-Wheats,K,C,100,7
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,10
Fruitful Bran,K,C,120,12
Fruity Pebbles,P,C,110,12
Golden Crisp,P,C,100,15
Golden Grahams,G,C,110,9
Grape Nuts Flakes,P,C,100,5
Grape-Nuts,P,C,110,3
Great Grains Pecan,P,C,120,4
Honey Graham Ohs,Q,C,120,11
Honey Nut Cheerios,G,C,110,10
Honey-comb,P,C,110,11
Just Right CrunchyNuggets,K,C,110,6
Just Right Fruit & Nut,K,C,140,9
Kix,G,C,110,3
Life,Q,C,100,6
Lucky Charms,G,C,110,12
Maypo,A,H,100,3
Muesli Raisins; Dates; & Almonds,R,C,150,11
Muesli Raisins; Peaches; & Pecans,R,C,150,11
Mueslix Crispy Blend,K,C,160,13
Multi-Grain Cheerios,G,C,100,6
Nut&Honey Crunch,K,C,120,9
Nutri-Grain Almond-Raisin,K,C,140,7
Nutri-grain Wheat,K,C,90,2
Oatmeal Raisin Crisp,G,C,130,10
Post Nat. Raisin Bran,P,C,120,14
Product 19,K,C,100,3
Puffed Rice,Q,C,50,0
Puffed Wheat,Q,C,50,0
Quaker Oat Squares,Q,C,100,6
Quaker Oatmeal,Q,H,100,-1
Raisin Bran,K,C,120,12
Raisin Nut Bran,G,C,100,8
Raisin Squares,K,C,90,6
Rice Chex,R,C,110,2
Rice Krispies,K,C,110,3
Shredded Wheat,N,C,80,0
Shredded Wheat 'n'Bran,N,C,90,0
Shredded Wheat spoon size,N,C,90,0
Smacks,K,C,110,15
Special K,K,C,110,3
Strawberry Fruit Wheats,N,C,90,5
Total Corn Flakes,G,C,110,3
Total Raisin Bran,G,C,140,14
Total Whole Grain,G,C,100,3
Triples,G,C,110,3
Trix,G,C,110,12
Wheat Chex,R,C,100,3
Wheaties,G,C,100,3
Wheaties Honey Gold,G,C,110,8
